Anzahl,R,G,B,HEX
2278,0,0,0,#000000
152,250,247,240,#FAF7F0
78,254,145,254,#FE91FE
66,202,38,1,#CA2601
47,255,217,2,#FFD902
42,1,1,1,#010101
20,2,2,0,#020200
16,3,3,1,#030301
10,4,5,0,#040500
10,8,8,0,#080800
9,54,255,0,#36FF00
8,201,39,1,#C92701
6,2,2,2,#020202
6,7,6,1,#070601
5,2,72,255,#0248FF
4,5,4,0,#050400
4,6,5,0,#060500
4,15,13,0,#0F0D00
4,253,145,254,#FD91FE
4,21,18,1,#151201
3,28,24,0,#1C1800
3,84,88,149,#545895
3,10,10,0,#0A0A00
3,253,217,1,#FDD901
3,22,19,0,#161300
2,7,7,7,#070707
2,6,6,6,#060606
2,18,16,1,#121001
2,16,14,1,#100E01
2,171,127,150,#AB7F96
2,43,38,0,#2B2600
2,0,119,1,#007701
2,253,26,255,#FD1AFF
2,4,4,4,#040404
2,255,98,1,#FF6201
2,23,21,0,#171500
2,254,149,244,#FE95F4
2,244,241,234,#F4F1EA
2,54,46,0,#362E00
2,196,45,2,#C42D02
2,39,34,2,#272202
2,253,146,252,#FD92FC
2,254,149,241,#FE95F1
2,37,32,0,#252000
2,254,145,253,#FE91FD
2,9,9,0,#090900
2,17,15,0,#110F00
2,254,150,237,#FE96ED
2,247,244,237,#F7F4ED
2,30,26,0,#1E1A00
2,202,40,1,#CA2801
1,199,42,1,#C72A01
1,52,45,0,#342D00
1,216,213,208,#D8D5D0
1,14,14,14,#0E0E0E
1,218,32,255,#DA20FF
1,68,59,2,#443B02
1,107,92,1,#6B5C01
1,208,177,1,#D0B101
1,20,17,0,#141100
1,255,160,204,#FFA0CC
1,252,144,253,#FC90FD
1,40,34,0,#282200
1,249,246,239,#F9F6EF
1,91,78,0,#5B4E00
1,52,45,3,#342D03
1,241,204,1,#F1CC01
1,229,195,0,#E5C300
1,230,143,240,#E68FF0
1,228,194,1,#E4C201
1,133,113,1,#857101
1,253,147,245,#FD93F5
1,7,8,0,#070800
1,39,190,0,#27BE00
1,250,144,254,#FA90FE
1,248,245,240,#F8F5F0
1,25,23,0,#191700
1,209,64,1,#D14001
1,252,145,251,#FC91FB
1,252,215,2,#FCD702
1,244,241,236,#F4F1EC
1,242,142,254,#F28EFE
1,212,180,7,#D4B407
1,50,43,0,#322B00
1,1,119,0,#017700
1,5,29,239,#051DEF
1,11,11,0,#0B0B00
1,252,144,255,#FC90FF
1,248,151,230,#F897E6
1,254,144,254,#FE90FE
1,8,8,1,#080801
1,17,14,0,#110E00
1,202,43,1,#CA2B01
1,14,12,0,#0E0C00
1,197,44,2,#C52C02
1,254,145,252,#FE91FC
1,66,57,2,#423902
1,29,25,0,#1D1900
1,253,146,250,#FD92FA
1,12,12,12,#0C0C0C
1,51,44,0,#332C00
1,104,88,0,#685800
1,252,146,244,#FC92F4
1,2,45,158,#022D9E
1,254,155,220,#FE9BDC
1,220,186,1,#DCBA01
1,1,46,163,#012EA3
1,28,23,1,#1C1701
1,19,16,0,#131000
1,71,61,0,#473D00
1,176,74,0,#B04A00
1,42,36,0,#2A2400
1,52,180,255,#34B4FF
1,255,158,209,#FF9ED1
1,41,35,0,#292300
1,254,148,245,#FE94F5
1,170,88,2,#AA5802
1,168,86,2,#A85602
1,250,213,2,#FAD502
1,0,1,1,#000101
1,13,11,0,#0D0B00
1,254,148,249,#FE94F9
1,255,153,226,#FF99E2
1,35,30,0,#231E00
1,85,73,1,#554901
1,241,144,247,#F190F7
1,208,62,2,#D03E02
1,215,212,207,#D7D4CF
1,65,58,4,#413A04
1,212,79,0,#D44F00
1,254,145,250,#FE91FA
